"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"TOR","2019-10-02","2019020001","20192020","OTT","1",60,62.5,61.76,61.76,62.5,66.25,5,3,42,26,63,39,80,48,4.91,2.5,2,16,24,32,2.41
"TOR","2019-10-04","2019020015","20192020","CBJ","0",60,80,50,49.32,51.46,50.1,4,1,29,29,36,37,53,50,2.31,2.3,3,0,-1,3,0.01
"TOR","2019-10-05","2019020019","20192020","MTL","1",65,50,46.84,47.32,46.9,51.16,5,5,37,42,53,59,68,77,4.35,4.16,0,-5,-6,-9,0.2
"TOR","2019-10-07","2019020034","20192020","STL","1",60,40,53.12,58.42,60.16,54.8,2,3,34,30,59,42,77,51,3.36,2.77,-1,4,17,26,0.59
"TOR","2019-10-10","2019020047","20192020","T.B","1",60,30,45.9,45.35,48.74,30.65,3,7,28,33,39,47,58,61,1.52,3.43,-4,-5,-8,-3,-1.92
"TOR","2019-10-12","2019020066","20192020","DET","0",60,71.43,60.29,59.52,61.67,63.82,5,2,41,27,50,34,74,46,3.91,2.22,3,14,16,28,1.69
"TOR","2019-10-15","2019020085","20192020","MIN","1",60,66.67,53.97,53.41,54.39,56.55,4,2,34,29,47,41,62,52,3.14,2.42,2,5,6,10,0.73
"TOR","2019-10-16","2019020093","20192020","WSH","0",60,42.86,50,48.35,51.52,42.6,3,4,32,32,44,47,68,64,2.17,2.92,-1,0,-3,4,-0.75
"TOR","2019-10-19","2019020115","20192020","BOS","1",63.9,57.14,38.67,42.16,41.6,44.14,4,3,29,46,43,59,52,73,2.86,3.61,1,-17,-16,-21,-0.76
"TOR","2019-10-21","2019020129","20192020","CBJ","1",61.95,42.86,44.93,47.78,51.26,36.58,3,4,31,38,43,47,61,58,1.91,3.32,-1,-7,-4,3,-1.4
"TOR","2019-10-22","2019020133","20192020","BOS","0",60,33.33,43.48,41.67,42.57,29.33,2,4,30,39,35,49,43,58,1.49,3.6,-2,-9,-14,-15,-2.1
"TOR","2019-10-25","2019020156","20192020","S.J","1",60,80,61.36,62.32,61.46,80.46,4,1,27,17,43,26,59,37,3.93,0.95,3,10,17,22,2.97
"TOR","2019-10-26","2019020163","20192020","MTL","0",60,28.57,44.93,43.96,46.72,40.59,2,5,31,38,40,51,57,65,2.47,3.62,-3,-7,-11,-8,-1.15
"TOR","2019-10-29","2019020180","20192020","WSH","1",64,42.86,48.44,49,49.59,48.41,3,4,31,33,49,51,61,62,2.97,3.17,-1,-2,-2,-1,-0.2
"TOR","2019-11-02","2019020209","20192020","PHI","0",65,50,39.39,35.87,40.68,34.63,3,3,26,40,33,59,48,70,1.84,3.48,0,-14,-26,-22,-1.64
"TOR","2019-11-05","2019020228","20192020","L.A","1",60,75,47.92,55.42,55.86,59.31,3,1,23,25,46,37,62,49,2.48,1.7,2,-2,9,13,0.78
"TOR","2019-11-07","2019020237","20192020","VGK","1",62.55,66.67,49.33,51.52,51.45,49.14,2,1,37,38,51,48,71,67,3.6,3.73,1,-1,3,4,-0.13
"TOR","2019-11-09","2019020253","20192020","PHI","1",65,50,55.56,55.45,52.67,54.86,2,2,40,32,56,45,69,62,3.37,2.77,0,8,11,7,0.6
"TOR","2019-11-10","2019020268","20192020","CHI","0",60,44.44,62.64,61.9,58.65,50.4,4,5,57,34,65,40,78,55,3.74,3.68,-1,23,25,23,0.06
"TOR","2019-11-13","2019020282","20192020","NYI","0",60,44.44,47.37,53.66,58.93,39.69,4,5,27,30,44,38,66,46,2.72,4.13,-1,-3,6,20,-1.41
"TOR","2019-11-15","2019020294","20192020","BOS","1",60,33.33,47.69,49.06,53.62,34.19,2,4,31,34,52,54,74,64,2.05,3.94,-2,-3,-2,10,-1.89
"TOR","2019-11-16","2019020308","20192020","PIT","0",60,14.29,46.48,51.61,56.52,35.33,1,6,33,38,48,45,65,50,1.93,3.53,-5,-5,3,15,-1.6
"TOR","2019-11-19","2019020329","20192020","VGK","0",60,33.33,47.14,47.83,49.62,46.21,2,4,33,37,44,48,66,67,3.34,3.89,-2,-4,-4,-1,-0.55
"TOR","2019-11-21","2019020343","20192020","ARI","0",60,75,51.56,56.38,57.03,54.05,3,1,33,31,53,41,73,55,2.67,2.27,2,2,12,18,0.4
"TOR","2019-11-23","2019020357","20192020","COL","0",60,62.5,43.08,44.05,42.06,54.47,5,3,28,37,37,47,53,73,3.23,2.7,2,-9,-10,-20,0.53
"TOR","2019-11-27","2019020379","20192020","DET","0",60,100,68.35,64.42,65,75.31,6,0,54,25,67,37,78,42,5.24,1.72,6,29,30,36,3.52
"TOR","2019-11-29","2019020392","20192020","BUF","0",60,40,44.62,48.81,51.52,56.36,4,6,29,36,41,43,51,48,3.29,2.55,-2,-7,-2,3,0.74
"TOR","2019-11-30","2019020405","20192020","BUF","1",61.75,66.67,58.9,52.38,51.97,45.82,2,1,43,30,55,50,66,61,2.06,2.43,1,13,5,5,-0.38
"TOR","2019-12-03","2019020428","20192020","PHI","0",60,14.29,49.12,47.56,42.73,37.28,1,6,28,29,39,43,47,63,3.02,5.09,-5,-1,-4,-16,-2.06
"TOR","2019-12-04","2019020434","20192020","COL","1",60,25,56.52,55.06,50.42,42.21,1,3,39,30,49,40,60,59,2.2,3.01,-2,9,9,1,-0.81
"TOR","2019-12-07","2019020459","20192020","STL","0",60,71.43,49.09,47.37,50.46,54.19,5,2,27,28,36,40,55,54,2.6,2.2,3,-1,-4,1,0.4
"TOR","2019-12-10","2019020481","20192020","VAN","0",60,80,40,44.32,47.01,51.93,4,1,26,39,39,49,55,62,2.84,2.63,3,-13,-10,-7,0.21
"TOR","2019-12-12","2019020494","20192020","CGY","0",60,33.33,58.62,50.57,52.99,50.76,2,4,34,24,44,43,62,55,3.41,3.31,-2,10,1,7,0.1
"TOR","2019-12-14","2019020511","20192020","EDM","0",60,80,46.38,48.42,46.55,58.18,4,1,32,37,46,49,54,62,3.81,2.74,3,-5,-3,-8,1.07
"TOR","2019-12-17","2019020525","20192020","BUF","1",60,62.5,52.38,51.14,49.55,68.85,5,3,33,30,45,43,55,56,4.27,1.93,2,3,2,-1,2.34
"TOR","2019-12-20","2019020550","20192020","NYR","0",60,66.67,64.52,60.23,59.65,64.44,6,3,40,22,53,35,68,46,4.54,2.51,3,18,18,22,2.04
"TOR","2019-12-21","2019020556","20192020","DET","1",60,80,43.4,46.43,49.51,46.98,4,1,23,30,39,45,51,52,2.34,2.64,3,-7,-6,-1,-0.3
"TOR","2019-12-23","2019020569","20192020","CAR","1",60,57.14,49.37,50,48.46,54.83,8,6,39,40,53,53,63,67,3.55,2.92,2,-1,0,-4,0.62
"TOR","2019-12-27","2019020583","20192020","N.J","0",62.63,55.56,56.92,56.32,58.56,54.04,5,4,37,28,49,38,65,46,3.35,2.85,1,9,11,19,0.5
"TOR","2019-12-28","2019020593","20192020","NYR","1",60.87,44.44,55.81,59.48,61.64,63.58,4,5,48,38,69,47,90,56,3.71,2.12,-1,10,22,34,1.58
"TOR","2019-12-31","2019020616","20192020","MIN","0",60,80,51.79,55.13,50,58.69,4,1,29,27,43,35,52,52,2.41,1.69,3,2,8,0,0.71
"TOR","2020-01-02","2019020633","20192020","WPG","0",60,66.67,36.84,41.58,42.86,57.48,6,3,28,48,42,59,54,72,4.34,3.21,3,-20,-17,-18,1.13
"TOR","2020-01-04","2019020646","20192020","NYI","1",60,100,41.07,47.3,50,58.79,3,0,23,33,35,39,48,48,3.01,2.11,3,-10,-4,0,0.9
"TOR","2020-01-06","2019020659","20192020","EDM","1",60,40,50.7,47.92,47.15,37.77,4,6,36,35,46,50,58,65,2.97,4.9,-2,1,-4,-7,-1.92
"TOR","2020-01-08","2019020675","20192020","WPG","1",65,50,50,52.33,50.47,64.33,3,3,28,28,45,41,54,53,3.08,1.71,0,0,4,1,1.37
"TOR","2020-01-12","2019020707","20192020","FLA","0",60,33.33,61.84,59.18,63.33,60.68,4,8,47,29,58,40,76,44,4.22,2.73,-4,18,18,32,1.48
"TOR","2020-01-14","2019020715","20192020","N.J","1",60,63.64,53.97,51.11,48.74,58.09,7,4,34,29,46,44,58,61,3.65,2.64,3,5,2,-3,1.02
"TOR","2020-01-16","2019020728","20192020","CGY","1",65,50,52.94,51.09,55.56,46.39,1,1,36,32,47,45,70,56,2.59,2.99,0,4,2,14,-0.4
"TOR","2020-01-18","2019020747","20192020","CHI","1",60,25,49.25,52.63,53.39,51.08,2,6,33,34,50,45,63,55,3.15,3.02,-4,-1,5,8,0.13
"TOR","2020-01-27","2019020770","20192020","NSH","0",60,71.43,46.27,44.68,44.92,60.51,5,2,31,36,42,52,53,65,3.96,2.59,3,-5,-10,-12,1.38
"TOR","2020-01-29","2019020777","20192020","DAL","0",60,62.5,50,44.83,43.2,54.12,5,3,34,34,39,48,54,71,3.48,2.95,2,0,-9,-17,0.53
"TOR","2020-02-01","2019020795","20192020","OTT","1",63.9,66.67,59.02,55.56,58.97,49.54,2,1,36,25,50,40,69,48,2.54,2.58,1,11,10,21,-0.05
"TOR","2020-02-03","2019020809","20192020","FLA","1",60,37.5,60.71,56.41,55.56,46.36,3,5,34,22,44,34,55,44,2.96,3.42,-2,12,10,11,-0.46
"TOR","2020-02-05","2019020825","20192020","NYR","0",60,37.5,46.15,49.45,55,49.2,3,5,30,35,45,46,66,54,4.23,4.37,-2,-5,-1,12,-0.14
"TOR","2020-02-07","2019020839","20192020","ANA","1",64.88,55.56,53.85,54.02,48.31,48.57,5,4,35,30,47,40,57,61,2.58,2.73,1,5,7,-4,-0.15
"TOR","2020-02-08","2019020845","20192020","MTL","0",61.72,33.33,43.4,47.95,47.71,51.33,1,2,23,30,35,38,52,57,2.11,2,-1,-7,-3,-5,0.11
"TOR","2020-02-11","2019020867","20192020","ARI","1",63.72,60,52.56,55.1,53.79,52.59,3,2,41,37,54,44,71,61,3.49,3.15,1,4,10,10,0.34
"TOR","2020-02-13","2019020881","20192020","DAL","1",60,40,62,63.53,67.29,69.15,2,3,31,19,54,31,72,35,4.39,1.96,-1,12,23,37,2.43
"TOR","2020-02-15","2019020901","20192020","OTT","0",60,66.67,53.45,43.9,42.24,55.9,4,2,31,27,36,46,49,67,3.45,2.72,2,4,-10,-18,0.73
"TOR","2020-02-16","2019020913","20192020","BUF","0",60,28.57,37.93,36.05,39.29,34.32,2,5,22,36,31,55,44,68,2.46,4.71,-3,-14,-24,-24,-2.25
"TOR","2020-02-18","2019020921","20192020","PIT","0",60,28.57,60,59.26,59.38,54.78,2,5,36,24,48,33,57,39,2.7,2.23,-3,12,15,18,0.47
"TOR","2020-02-20","2019020933","20192020","PIT","1",60,100,55.56,54.88,52.89,68.4,4,0,30,24,45,37,64,57,3.05,1.41,4,6,8,7,1.64
"TOR","2020-02-22","2019020951","20192020","CAR","1",60,33.33,35.62,36.63,39.2,37.8,3,6,26,47,37,64,49,76,3.39,5.58,-3,-21,-27,-27,-2.19
"TOR","2020-02-25","2019020970","20192020","T.B","0",60,57.14,44.23,41.1,41.94,41.47,4,3,23,29,30,43,39,54,1.47,2.07,1,-6,-13,-15,-0.6
"TOR","2020-02-27","2019020987","20192020","FLA","0",60,62.5,51.79,51.9,50,65.22,5,3,29,27,41,38,54,54,3.69,1.97,2,2,3,0,1.72
"TOR","2020-02-29","2019021003","20192020","VAN","1",60,66.67,52.63,50,47.9,59.38,4,2,30,27,42,42,57,62,3.38,2.31,2,3,0,-5,1.07
"TOR","2020-03-03","2019021028","20192020","S.J","0",60,28.57,41.54,43.68,46.9,36.75,2,5,27,38,38,49,53,60,2.67,4.59,-3,-11,-11,-7,-1.92
"TOR","2020-03-05","2019021041","20192020","L.A","0",65,0,54.55,55.77,54.69,58.64,0,0,36,30,58,46,70,58,3.96,2.79,0,6,12,12,1.17
"TOR","2020-03-06","2019021048","20192020","ANA","0",60,33.33,52.54,53.57,53.21,51,1,2,31,28,45,39,58,51,2.95,2.83,-1,3,6,7,0.12
"TOR","2020-03-10","2019021070","20192020","T.B","1",60,66.67,52.17,52.94,51.16,58.85,2,1,36,33,54,48,66,63,3.61,2.52,1,3,6,3,1.08
"TOR","Total","-","20192020","-","-",60.88,51.63,50.75,51,51.57,51.72,237,222,2302,2234,3224,3097,4260,4000,218.43,203.93,15,68,127,260,14.5
